name,place_of_birth,citizenship,national_team,birth_country,is_naturalized
Amad Diallo,Abidjan,Cote d'Ivoire  Italy,Ivory Coast,Côte d'Ivoire,True
Evann Guessand,Ajaccio,Cote d'Ivoire  France,Ivory Coast,France,True
Nicolas Pépé,Mantes-la-Jolie,Cote d'Ivoire  France,Ivory Coast,France,True
Ange-Yoan Bonny,Aubervilliers,Cote d'Ivoire  France,Ivory Coast,France,True
Elye Wahi,Courcouronnes,Cote d'Ivoire  France,Ivory Coast,France,True
Oumar Diakité,Bingerville,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Yazeed Abulaila,Zarqa,Jordan,Jordan,Jordan,False
Abdallah Al-Fakhouri,Russeifa,Jordan,Jordan,Jordan,False
Abdel Rahman Al-Talalga,,Jordan,Jordan,,True
Yazan Al-Arab,Russeifa,Jordan,Jordan,Jordan,False
Abdallah Nasib,Aqaba,Jordan,Jordan,Jordan,False
Husam Abu Dahab,,Jordan,Jordan,,True
Yousef Abu Al-Jazar,Ar-Ramtha,Jordan,Jordan,Jordan,False
Mohammad Abualnadi,"Overland Park, Kansas",Jordan  United States,Jordan,United States,True
Saleem Obaid,Amman,Jordan,Jordan,Jordan,False
